id,column_name,data_type,count_unique,count_null,count_missing_passive,count_missing_confirmed,count_blank,ppn_missing_baseline,ppn_missing_all,source,cat,exclude,baseline
1,RID,int64,819,0,0,0,0,0,0,ADNIMERGE,ID,1,0
2,VISCODE,object,1,0,0,0,0,0,0,ADNIMERGE,ID,1,0
3,PTID,object,819,0,0,0,0,0,0,ADNIMERGE,ID,1,0
4,SITE,int64,58,0,0,0,0,0,0,ADNIMERGE,ID,1,0
5,D1,int64,2,0,0,0,0,0,0,ADNIMERGE,ID,1,0
6,D2,int64,2,0,0,0,0,0,0,ADNIMERGE,ID,1,0
7,COLPROT,object,1,0,0,0,0,0,0,ADNIMERGE,ID,1,0
8,ORIGPROT,object,1,0,0,0,0,0,0,ADNIMERGE,ID,1,0
9,EXAMDATE,object,351,0,0,0,0,0,0,ADNIMERGE,ID,1,0
10,DX_bl,object,3,0,0,0,0,0,0,ADNIMERGE,Diagnosis,1,0
11,DXCHANGE,float64,5,0,0,0,0,0,0.28,ADNIMERGE,Diagnosis,1,0
12,AGE,float64,268,0,0,0,0,0,0,ADNIMERGE,Demographics,0,1
13,PTEDUCAT,int64,16,0,0,0,0,0,0,ADNIMERGE,Demographics,0,1
14,APOE4,float64,3,0,0,0,0,0,0,ADNIMERGE,Genetic markers,0,1
15,FDG,float64,398,417,0,0,0,0.51,0.7,ADNIMERGE,PET measures,0,1
16,PIB,float64,20,799,0,0,0,0.98,0.97,ADNIMERGE,PET measures,0,1
17,AV45,float64,0,819,0,0,0,1,0.94,ADNIMERGE,PET measures,0,1
18,CDRSB,float64,17,0,0,0,0,0,0.28,ADNIMERGE,Diagnosis,1,0
19,ADAS11,float64,90,1,0,0,0,0,0.29,ADNIMERGE,Cognitive tests,0,1
20,ADAS13,float64,124,8,0,0,0,0.01,0.3,ADNIMERGE,Cognitive tests,0,1
21,MMSE,float64,12,0,0,0,0,0,0.29,ADNIMERGE,Cognitive tests,0,1
22,RAVLT_immediate,float64,61,4,0,0,0,0,0.3,ADNIMERGE,Cognitive tests,0,1
23,RAVLT_learning,float64,15,4,21,2,0,0.03,0.31,NEUROBAT,Cognitive tests,0,0
24,RAVLT_forgetting,float64,17,4,7,0,0,0.01,0.31,NEUROBAT,Cognitive tests,0,0
25,RAVLT_perc_forgetting,float64,66,8,0,0,0,0.01,0.31,NEUROBAT,Cognitive tests,0,0
26,FAQ,float64,31,3,0,0,0,0,0.28,ADNIMERGE,Cognitive tests,0,0
27,MOCA,float64,0,819,0,0,0,1,0.85,ADNIMERGE,Cognitive tests,0,0
28,EcogPtMem,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
29,EcogPtLang,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
30,EcogPtVisspat,float64,0,819,0,0,0,1,0.85,ADNIMERGE,Cognitive tests,0,0
31,EcogPtPlan,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
32,EcogPtOrgan,float64,0,819,0,0,0,1,0.85,ADNIMERGE,Cognitive tests,0,0
33,EcogPtDivatt,float64,0,819,0,0,0,1,0.85,ADNIMERGE,Cognitive tests,0,0
34,EcogPtTotal,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
35,EcogSPMem,float64,0,819,0,0,0,1,0.83,ADNIMERGE,Cognitive tests,0,0
36,EcogSPLang,float64,0,819,0,0,0,1,0.83,ADNIMERGE,Cognitive tests,0,0
37,EcogSPVisspat,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
38,EcogSPPlan,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
39,EcogSPOrgan,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
40,EcogSPDivatt,float64,0,819,0,0,0,1,0.84,ADNIMERGE,Cognitive tests,0,0
41,EcogSPTotal,float64,0,819,0,0,0,1,0.83,ADNIMERGE,Cognitive tests,0,0
42,Ventricles,float64,800,15,0,0,0,0.02,0.43,ADNIMERGE,MRI measures,0,1
43,Hippocampus,float64,619,154,0,0,0,0.19,0.53,ADNIMERGE,MRI measures,0,1
44,WholeBrain,float64,805,11,0,0,0,0.01,0.42,ADNIMERGE,MRI measures,0,1
45,Entorhinal,float64,600,154,0,0,0,0.19,0.53,ADNIMERGE,MRI measures,0,1
46,Fusiform,float64,646,154,0,0,0,0.19,0.53,ADNIMERGE,MRI measures,0,1
47,MidTemp,float64,644,154,0,0,0,0.19,0.53,ADNIMERGE,MRI measures,0,1
48,ICV,float64,811,1,0,0,0,0,0.41,ADNIMERGE,MRI measures,0,1
49,DX,object,5,0,0,0,0,0,0.28,ADNIMERGE,Diagnosis,1,0
50,CDRSB_bl,float64,17,0,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,0
51,ADAS11_bl,float64,90,1,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,0
52,ADAS13_bl,float64,124,8,0,0,0,0.01,0.01,ADNIMERGE,Cognitive tests,1,0
53,MMSE_bl,int64,12,0,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,0
54,RAVLT_immediate_bl,float64,61,4,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,0
55,RAVLT_learning_bl,float64,15,4,21,2,0,0.03,0.03,NEUROBAT,Cognitive tests,1,0
56,RAVLT_forgetting_bl,float64,17,4,7,0,0,0.01,0.01,NEUROBAT,Cognitive tests,1,0
57,RAVLT_perc_forgetting_bl,float64,66,8,0,0,0,0.01,0.01,NEUROBAT,Cognitive tests,1,0
58,FAQ_bl,float64,31,3,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,0
59,Ventricles_bl,float64,800,15,0,0,0,0.02,0.02,ADNIMERGE,MRI measures,1,0
60,Hippocampus_bl,float64,619,154,0,0,0,0.19,0.17,ADNIMERGE,MRI measures,1,0
61,WholeBrain_bl,float64,805,11,0,0,0,0.01,0.01,ADNIMERGE,MRI measures,1,0
62,Entorhinal_bl,float64,600,154,0,0,0,0.19,0.17,ADNIMERGE,MRI measures,1,0
63,Fusiform_bl,float64,646,154,0,0,0,0.19,0.17,ADNIMERGE,MRI measures,1,0
64,MidTemp_bl,float64,644,154,0,0,0,0.19,0.17,ADNIMERGE,MRI measures,1,0
65,ICV_bl,float64,811,1,0,0,0,0,0,ADNIMERGE,MRI measures,1,0
66,MOCA_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
67,EcogPtMem_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
68,EcogPtLang_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
69,EcogPtVisspat_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
70,EcogPtPlan_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
71,EcogPtOrgan_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
72,EcogPtDivatt_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
73,EcogPtTotal_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
74,EcogSPMem_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
75,EcogSPLang_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
76,EcogSPVisspat_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
77,EcogSPPlan_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
78,EcogSPOrgan_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
79,EcogSPDivatt_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
80,EcogSPTotal_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,Cognitive tests,1,0
81,FDG_bl,float64,398,417,0,0,0,0.51,0.51,ADNIMERGE,PET measures,1,0
82,PIB_bl,float64,20,799,0,0,0,0.98,0.98,ADNIMERGE,PET measures,1,0
83,AV45_bl,float64,0,819,0,0,0,1,1,ADNIMERGE,PET measures,1,0
84,Years_bl,float64,1,0,0,0,0,0,0,ADNIMERGE,Time,1,0
85,Month_bl,float64,1,0,0,0,0,0,0,ADNIMERGE,Time,1,0
86,Month,int64,1,0,0,0,0,0,0,ADNIMERGE,Time,1,0
87,M,int64,1,0,0,0,0,0,0,ADNIMERGE,Time,1,0
88,ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,0,819,0,0,0,1,1,UCSFFSL,MRI (Longitudinal),0,0
89,ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,404,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
90,ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,458,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
91,ST102SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,374,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
92,ST102TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,373,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
93,ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,228,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
94,ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,433,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
95,ST103SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,243,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
