column_name,data_type,count_unique,count_null,count_missing_passive,count_missing_confirmed,count_blank,ppn_missing,source,cat,keep,numeric,categorical
PTID,object,1737,0,0,0,0,0,ADNIMERGE,ID,1,0,0
SITE,int64,62,0,0,0,0,0,ADNIMERGE,ID,1,1,0
D1,int64,2,0,0,0,0,0, ,ID,1,1,0
D2,int64,2,0,0,0,0,0, ,ID,1,1,0
COLPROT,object,3,0,0,0,0,0,ADNIMERGE,ID,1,0,0
ORIGPROT,object,3,0,0,0,0,0,ADNIMERGE,ID,1,0,0
EXAMDATE,object,2688,0,0,0,0,0,ADNIMERGE,ID,1,0,0
DX_bl,object,5,0,0,0,0,0,ADNIMERGE,Diagnosis,1,0,0
DXCHANGE,float64,8,3849,0,0,0,0.302095597,DXSUM,Diagnosis,1,1,0
AGE,float64,324,0,0,0,0,0,ADNIMERGE,Risk factors,1,1,0
PTGENDER,object,2,0,0,0,0,0,ADNIMERGE,Demographics,1,0,1
PTEDUCAT,int64,16,0,0,0,0,0,ADNIMERGE,Demographics,1,1,0
PTETHCAT,object,3,0,0,0,0,0,ADNIMERGE,Demographics,1,0,1
PTRACCAT,object,7,0,0,0,0,0,ADNIMERGE,Demographics,1,0,1
PTMARRY,object,5,0,0,0,0,0,ADNIMERGE,Demographics,1,0,1
APOE4,float64,3,12,0,0,0,0.000941841,ADNIMERGE,Risk factors,1,1,0
FDG,float64,3241,9389,0,0,0,0.73691233,ADNIMERGE,PET measures,1,1,0
PIB,float64,186,12518,0,0,0,0.982497449,ADNIMERGE,PET measures,1,1,0
AV45,float64,2090,10623,0,0,0,0.833765011,ADNIMERGE,PET measures,1,1,0
CDRSB,float64,30,3778,0,0,0,0.296523036,ADNIMERGE,Cognitive tests,1,1,0
ADAS11,float64,163,3831,0,0,0,0.300682835,ADNIMERGE,Cognitive tests,1,1,0
ADAS13,float64,204,3917,0,0,0,0.307432698,ADNIMERGE,Cognitive tests,1,1,0
MMSE,float64,31,3809,0,0,0,0.298956126,ADNIMERGE,Cognitive tests,1,1,0
RAVLT_immediate,float64,76,3910,0,0,0,0.30688329,ADNIMERGE,Cognitive tests,1,1,0
RAVLT_learning,float64,20,3910,177,10,0,0.321560317,NEUROBAT,Cognitive tests,1,1,0
RAVLT_forgetting,float64,27,3936,109,6,0,0.317949925,NEUROBAT,Cognitive tests,1,1,0
