,count_unique,count_null,count_missing_passive,count_missing_confirmed,ppn_null,data_type
RID,1737,0,0,0,0.0,int64
PTID,1737,0,0,0,0.0,object
VISCODE,22,0,0,0,0.0,object
SITE,62,0,0,0,0.0,int64
D1,2,0,0,0,0.0,int64
D2,2,0,0,0,0.0,int64
COLPROT,3,0,0,0,0.0,object
ORIGPROT,3,0,0,0,0.0,object
EXAMDATE,2688,0,0,0,0.0,object
DX_bl,5,0,0,0,0.0,object
DXCHANGE,8,3849,0,0,0.3020955968919237,float64
AGE,324,0,0,0,0.0,float64
PTGENDER,2,0,0,0,0.0,object
PTEDUCAT,16,0,0,0,0.0,int64
PTETHCAT,3,0,0,0,0.0,object
PTRACCAT,7,0,0,0,0.0,object
PTMARRY,5,0,0,0,0.0,object
APOE4,3,12,0,0,0.0009418412997409936,float64
FDG,3241,9389,0,0,0.7369123302723491,float64
PIB,186,12518,0,0,0.9824974491798132,float64
AV45,2090,10623,0,0,0.8337650105957146,float64
CDRSB,30,3778,0,0,0.2965230358684562,float64
ADAS11,163,3831,0,0,0.30068283494231224,float64
ADAS13,204,3917,0,0,0.307432697590456,float64
MMSE,31,3809,0,0,0.2989561258927871,float64
RAVLT_immediate,76,3910,0,0,0.3068832901656071,float64
RAVLT_learning,20,3910,177,10,0.3068832901656071,float64
RAVLT_forgetting,27,3936,109,6,0.30892394631504594,float64
RAVLT_perc_forgetting,100,4006,0,0,0.314418020563535,float64
FAQ,31,3747,0,0,0.2940899458441253,float64
MOCA,31,7774,0,0,0.610156188682207,float64
EcogPtMem,59,7702,0,0,0.6045051408837611,float64
EcogPtLang,68,7717,0,0,0.6056824425084373,float64
EcogPtVisspat,51,7757,0,0,0.608821913507574,float64
EcogPtPlan,29,7727,0,0,0.6064673102582215,float64
EcogPtOrgan,37,7830,0,0,0.6145514480809984,float64
EcogPtDivatt,19,7755,0,0,0.6086649399576172,float64
EcogPtTotal,499,7713,0,0,0.6053684954085237,float64
EcogSPMem,58,7660,0,0,0.6012086963346676,float64
EcogSPLang,75,7654,0,0,0.6007377756847971,float64
EcogSPVisspat,54,7749,0,0,0.6081940193077466,float64
EcogSPPlan,31,7714,0,0,0.6054469821835021,float64
EcogSPOrgan,37,7883,0,0,0.6187112471548544,float64
EcogSPDivatt,19,7789,0,0,0.6113334903068833,float64
EcogSPTotal,722,7659,0,0,0.6011302095596892,float64
FLDSTRENG,2,5662,0,0,0.44439211992779215,object
FSVERSION,2,4788,0,0,0.37579467859665644,object
Ventricles,7071,5296,0,0,0.41566596028569186,float64
Hippocampus,3615,5939,0,0,0.4661329565968134,float64
WholeBrain,7286,5052,0,0,0.3965151871909583,float64
Entorhinal,2806,6272,0,0,0.492269052664626,float64
Fusiform,4771,6272,0,0,0.492269052664626,float64
MidTemp,4962,6272,0,0,0.492269052664626,float64
ICV,7424,4788,0,0,0.37579467859665644,float64
DX,8,3837,0,0,0.3011537555921827,object
EXAMDATE_bl,861,0,0,0,0.0,object
CDRSB_bl,18,0,0,0,0.0,float64
ADAS11_bl,98,17,0,0,0.0013342751746330743,float64
ADAS13_bl,134,78,0,0,0.006121968448316459,float64
MMSE_bl,13,0,0,0,0.0,int64
RAVLT_immediate_bl,69,36,0,0,0.0028255238992229807,float64
RAVLT_learning_bl,16,36,192,7,0.0028255238992229807,float64
RAVLT_forgetting_bl,20,36,144,1,0.0028255238992229807,float64
RAVLT_perc_forgetting_bl,79,57,0,0,0.00447374617376972,float64
FAQ_bl,31,45,0,0,0.0035319048740287263,float64
FLDSTRENG_bl,2,1454,0,0,0.11411977081861706,object
FSVERSION_bl,2,94,0,0,0.007377756847971117,object
Ventricles_bl,1642,490,0,0,0.03845851973942391,float64
Hippocampus_bl,1264,1781,0,0,0.13978494623655913,float64
WholeBrain_bl,1667,249,0,0,0.019543206969625616,float64
Entorhinal_bl,1158,1894,0,0,0.14865395180912017,float64
Fusiform_bl,1365,1894,0,0,0.14865395180912017,float64
MidTemp_bl,1377,1894,0,0,0.14865395180912017,float64
ICV_bl,1696,94,0,0,0.007377756847971117,float64
MOCA_bl,26,7010,0,0,0.5501922925986972,float64
EcogPtMem_bl,43,6956,0,0,0.5459540067498626,float64
EcogPtLang_bl,47,6957,0,0,0.5460324935248411,float64
EcogPtVisspat_bl,38,6980,0,0,0.5478376893493446,float64
EcogPtPlan_bl,21,6958,0,0,0.5461109802998195,float64
EcogPtOrgan_bl,34,7089,0,0,0.556392747821992,float64
EcogPtDivatt_bl,15,6996,0,0,0.5490934777489993,float64
EcogPtTotal_bl,223,6957,0,0,0.5460324935248411,float64
EcogSPMem_bl,47,6970,0,0,0.5470528215995605,float64
EcogSPLang_bl,59,6965,0,0,0.5466603877246684,float64
EcogSPVisspat_bl,45,7048,0,0,0.553174790047877,float64
EcogSPPlan_bl,30,7014,0,0,0.5505062396986108,float64
EcogSPOrgan_bl,35,7237,0,0,0.5680087905187976,float64
